Project ID,Category,Title,County,Improvement Type,Cost,Primary Project, Description
"579","Completed","PA 173 Cochranton Tr Brdg","Crawford      ","Bridge Replacement","4762254","null","State Route 173 (Adams Street) Cochranton Truss Bridge over French Creek along with coordination with the Norfolk and Southern Railroad (AAR #262814S)
Fairfield Township and the Borough of Cochranton 
Bridge Replacement"
"649","Completed","Avonia Rd over I-90","Erie          ","Bridge Replacement","5732431","null","State Route 98 (Avonia Road) Bridge over Interstate 90 (American Veterans Memorial Highway)
Fairview Township
Bridge Replacement"
"833","Completed","Elmwood Rd Br T-324","Erie          ","Bridge Replacement","563415","null","Elmwood Road (Township Road 324) Bridge over Raccoon Creek approximately .2 miles north of State Route 5
Springfield Township
Local Bridge Replacement"
"853","Completed","Kane Hill Road Br T-609","Erie          ","Bridge Replacement","661956","null","Kane Hill Road (Township Road 609) Bridge over Four Mile Creek
Greene Township
Local Bridge Replacement"
"873","Completed","Old Ridge Rd. Br/Elk Ck","Erie          ","Bridge Removal","290847","null","Old Ridge Road Bridge over Elk Creek 
Borough of Girard
Local Bridge Removal"
"880","Completed","N. Mill St. Br. T-726","Erie          ","Bridge Replacement","1320094","null","North Mill Street (Township Road 726) Bridge over Sixteen Mile Creek 
North East Township   
Local Bridge Replacement"
"1018","Completed","Rick Rd Br/T-450 ovr Elk","Erie          ","Bridge Replacement","1127749","null","Rick Road (Township Road 450) Bridge over Elk Creek
McKean Township
Local Bridge Replacement"
"1019","Completed","Old Sterrett. Br. T-406","Erie          ","Bridge Replacement","700000","null","Old Sterrettania Road (Township Road 406) Bridge over Walnut Creek
Millcreek Township
Local Bridge Replacement
Project was canceled"
"1123","Completed","SR 3004: Carter Rd Brdg","Erie          ","Bridge Rehabilitation","490000","null","State Route 3004 (Keepsville Road), Carter Road Bridge over Conneaut Creek
Conneaut Township
Dept. Force Bridge Restoration/Rehabilitation"
"1125","Completed","SR 3015,Lexington Rd/I-90","Erie          ","Bridge Preservation Activities","100000","null","State Route 3015 (Lexington Road) Bridge over Interstate 90 (American Veterans Memorial Highway)
Girard Township
Bridge Preservation/Replacement"
"1293","Completed","East Park Road Bridge","Erie          ","Bridge Replacement","759601","null","State Route 3014 (Park Road) East Park Row Bridge over Trout Run 
Borough of Waterford 
Bridge Replacement"
"1296","Completed","W. 38th St over I-79","Erie          ","Bridge Rehabilitation","771543","null","State Route 4016 (West 38th Street) Bridge over Interstate 79 (Raymond P Shafer Highway)
City of Erie
Bridge Restoration/Rehabilitation"
"1343","Completed","Hunter Station Br - US 62","Forest        ","Bridge Replacement","24044872","null","State Route 62 (Oil City Road) Hunter Station Bridge over the Allegheny River
Tionesta Township
Bridge Replacement"
"1414","Completed","Blue Jay Ck Br #2","Forest        ","Bridge Replacement","850960","null","State Route 1003 (Blue Jay Road) Bridge #2 over Blue Jay Creek
Howe Township
Bridge Replacement"
"1485","Completed","I-376/PA 318 Interch Imp","Mercer        ","Interchange Improvement","5170536","null","Interstate 376 (Beaver Valley Expressway) and the State Route 318 Interchange 
Shenango Township
Safety/Interchange Improvement"
"1528","Completed","Carlton Rd Br/New Lebanon","Mercer        ","Bridge Replacement","3414585","null","State Route 1015 (Carlton Road) Bridge over French Creek and an at grade crossing with Western New York and Pennsylvania Railroad (DOT #262821C)
French Creek Township
Bridge Replacement"
"1727","Completed","Ivanhoe/McCullough Rn Br","Mercer        ","Bridge Replacement","479229","null","State Route 718 (Ivanhoe Road) Bridge over McCullough Run
South Pymatuning Township
Bridge Replacement"
"1738","Completed","SR 2005/Livermore Br","Mercer        ","Bridge Replacement","1589817","null","State Route 2005 (Irishtown Road)  Livermore Bridge over CSX Mainline Railroad (DOT #051788W) and Passing Siding
Pine Township
Bridge Replacement"
"1746","Completed","Race Street Bridge","Mercer        ","Bridge Replacement","2367493","null","Race Street Bridge over the Little Shenango River 
Borough of Greenville 
Local Bridge Replacement"
"1815","Completed","US 19 Br ov Neshannock Ck","Mercer        ","Bridge Replacement","2866834","null","State Route 19 (Perry Highway) Iron Bridge over Neshannock Creek
Springfield Township
Bridge Replacement"
"1821","Completed","Leesburg Sta Rd Bridge","Mercer        ","Bridge Replacement","673458","null","State Route 2002 (Leesburg Station Road) Bridge over Hunter Run 
Springfield Township
Bridge Replacement"
"1827","Completed","PA 58 Br over Moury Run","Mercer        ","Bridge Replacement","478388","null","State Route 58 (Mercer Road) Bridge over Moury Run
Hempfield Township
Bridge Replacement"
"1828","Completed","PA 718 Br over Big Run","Mercer        ","Bridge Replacement","555224","null","State Route 718 (Water Avenue) Bridge over Big Run
City of Hermitage
Bridge Replacement"
"1866","Completed","Perry Hwy/Lil Sheng River","Mercer        ","Bridge Replacement","681177","null","State Route 19 (Perry Highway) Bridge over the Little Shenango River
Perry Township
Bridge Replacement"
"1923","Completed","W. Middlesex Viaduct","Mercer        ","Bridge Replacement","6488102","null","State Route 318 (Main Street) West Middlesex Viaduct Bridge over Garfield Street, Consolidated Rail Corporation (DOT #544702Y), and the Shenango River
Borough of West Middlesex
Bridge Replacement"
"1938","Completed","Redfoot Rd Br ov Otter Ck","Mercer        ","Bridge Replacement","485781","null","Redfoot Road (Township Road 634) Bridge over Otter Creek
Delaware Township
Local Bridge Replacement"
"1953","Completed","SR 427 Bridge ov Sugar Ck","Venango       ","Bridge Rehabilitation","696091","null","State Route 427 Bridge over Sugar Creek 
Jackson Township
Bridge Restoration/Rehabilitation"
"2226","Completed","Emlenton Hill Imp.","Venango       ","Safety Improvement","18645164","null","State Route 38 (Emlenton Hill) from Emlenton Bridge to State Route 208
Scrubgrass Township and the Borough of Emlenton 
Repair Slide and Highway Restoration"
"2254","Completed","Cherry Tree Rd Br (T-450)","Venango       ","Bridge Replacement","431547","null","Cherry Tree Road (Township Road 450) over a Tributary of Two Mile Run Lake
Oakland Township
Local Bridge Replacement"
"2298","Completed","SR 4010 over Sugar Creek","Venango       ","Bridge Rehabilitation","1693765","null","State Route 4010 (Sugar Creek Road) Bridge over Sugar Creek
Borough of Sugarcreek
Bridge Restoration/Rehabilitation"
"2479","Completed","SR 1012: Priest Hlw Rd Br","Warren        ","Bridge Replacement","2937257","null","State Route 1012 (Priest Hollow Road) Liberty Street Bridge over Conewango Creek
Pine Grove Township
Bridge Rehab/Replacement"
"2523","Completed","PA 426 Br/Brokenstraw Ck.","Warren        ","Bridge Rehabilitation","778708","null","State Route 426 Bridge over Brokenstraw Creek 
Columbus Township
Bridge Restoration/Rehabilitation"
"2542","Completed","Old Rt 6/Irvine Run Br","Warren        ","Bridge Replacement","844094","null","State Route 3022 (National Forge Road) Old Route 6 Bridge over Irvine Run and coordination with the Buffalo and Pittsburgh Railroad (no AAR #) on the the noth side 
Brokenstraw Township
Bridge Replacement"
"2545","Completed","Browns Run Road Bridge","Warren        ","Bridge Rehabilitation","1034294","null","State Route 2010 (Brown Run Road) Bridge over Browns Run
Mead Township
Bridge Rehab/Replacement"
"2673","Completed","PA 155 Cowley Run Br","Cameron       ","Replace/Rehab","0","2673","SR 155 over Cowley Run
Portage Twp
Bridge Replacement"
"2888","Completed","Elk Creek  BOX","Centre        ","Bridge Replacement","162207","null","SR 2018 over Elk Creek
Penn Township
Bridge Replacement"
"2899","Completed","T-468 Penns Creek","Centre        ","Bridge Replacement","588835","null","T-468, Ross Hill Rd, Bridge over Penns Creek
Gregg Township
Bridge Replacement"
"2908","Completed","T-523,Elk Creek Brdg","Centre        ","Bridge Replacement","872805","null","Township Road 523 over Elk Creek
Miles Township
Bridge Replacement"
"2911","Completed","SR 350 Clover Run STA","Centre        ","Bridge Replacement","429475","null","SR 350, over Clover Run, 
Rush Township
Maint. Box Culvert by Contract"
"2933","Completed","SR 2012 Penns Crk Coburn","Centre        ","Bridge Replacement","948336","null","SR 2012 over Penns Creek, Village of Coburn
Penn Township
Bridge Replacement"
"2944","Completed","Br. Marsh Creek Bridge","Centre        ","Bridge Replacement","1706904","null","SR 1002 over Marsh Creek
Liberty Township
Bridge Replacement"
"2959","Completed","SR 3034 One Mile Rn STA","Centre        ","Bridge Replacement","0","69037","SR 3034 over One Mile Run
Rush Twp.
Bridge Replacement"
"3061","Completed","SR 3049 Osceola Mil Truss","Centre        ","Bridge Rehabilitation","1325255","null","SR 3049 over Moshannon Creek
Rush Township/Osceola Mills Borough
Bridge Rehabilitation"
"3091","Completed","SR 26 ov Railroad Bridge Preserv.","Centre        ","Bridge Preservation Activities","0","3091","PA 26 over Railroad in Howard Borough
Bridge Preservation"
"3108","Completed","2019 Centre Br. Preserv.","Centre        ","Bridge Rehabilitation","2149602","null","SR 3010 over Spring Creek and SR 8022 over I-99
College and Patton Townships
Bridge Rehabilitation"
"3121","Completed","2020 Centre Br. Preserv.","Centre        ","Bridge Rehabilitation","1421833","null","SR 26 Thompson Run College Twp, SR 1002 Marsh Creek Liberty Twp, SR 3040 Ardery Run Huston Twp, 
SR 3040 Trib. Bald Eagle Crk Huston Twp, SR 3049 Moshannon Crk in Rush Twp, SR 150 Wall in Bellefonte 
Bridge Rehabilitation"
"3123","Completed","2020 Centre Br Preserv.","Centre        ","Bridge Preservation Activities","0","91503","SR 4004 over Tributary Wallace Run and PA 64 over Little Fishing Creek
Union and Walker Township
Bridge Preservation"
"3127","Completed","2021 Centre Br. Preserv.","Centre        ","Bridge Preservation Activities","1343107","null","Burnside Township 
SR 879 over West Branch Susquehanna River
Bridge Preservation"
"3132","Completed","2022 Centre Br. Preserv.","Centre        ","Bridge Preservation Activities","0","94960","SR 3014 over Slab Cabin Run
College Township
Bridge Preservation"
"3133","Completed","SR 3034 Cold Stream Run","Centre        ","Bridge Replacement","1365047","null","SR 3034 over Cold Stream Run, Lochlomond Road
Rush Township
Bridge Replacement"
"3190","Completed","Trib to Penns Creek BOX","Centre        ","Bridge Replacement","174198","null","SR 2007 over Unnamed Tributary to Penns Creek
Gregg Township
Bridge Replacement / Superstructure Replacement"
"3191","Completed","SR 2011 Elk Creek","Centre        ","Bridge Replacement","1137527","null","SR 2011-A06 over Elk Creek.
Penn Township
Bridge Replacement"
"3407","Completed","PA 255/Tyler Run Br. STA","Clearfield    ","Bridge Replacement","714777","null","SR 255 over PA 255/Tyler Run
Huston Township
Bridge Replacement."
"3439","Completed","2013 N. Central Br. Pres.","Clearfield    ","Bridge Rehabilitation","1898745","null","PA 255 over Bennett Branch, PA 153 over Whiteside Run, PA 255 over Heath Run, PA 729 over Campbell Run and PA 253 over Little Muddy Run
Huston (2), Woodward, Ferguson and Gulich Township and Glen Hope Borough
Bridge Preservation"
"3442","Completed","2014 N. Central Br. Pres.","Potter        ","Bridge Preservation Activities","2176019","null","PA 44, SR 1022, SR 4003, PA 49, SR 3004, PA 49 and SR 0144 
Hebron Township, Galeton Borough, Clara, Eulalia, Roulette, Stewardson and Ulysses Townships
Bridge Preservation"
"3562","Completed","Carson Run Bridge","Clearfield    ","Bridge Replacement","330001","null","SR 2012/A01 over Carson Run
Knox Township
Bridge Replacement"
"3565","Completed","US 219/Kings Run","Clearfield    ","Bridge Improvement","777238","null","SR 219 over Kings Run
Burnside Township
Bridge Replacement"
"3569","Completed","Shawville Truss DB","Clearfield    ","Bridge Replacement","5372897","null","SR 0970 over Susquehanna River
Bradford and Goshen Townships
Clearfield County
Bridge Replacement"
"3616","Completed","Branch Moshannon Crk BOX","Clearfield    ","Bridge Replacement","221510","null","SR 2021 over Moshannon Creek
Decatur Township
Bridge Replacement"
"3618","Completed","Sulphur Run Bridge","Clearfield    ","Bridge Replacement","670584","null","SR 2035-A01 over Sulphur Run
Cooper Township, Village of Windburne
Clearfield County
Bridge Replacement"
"3624","Completed","2015 N. Central Br. Pres.","McKean        ","Bridge Preservation Activities","2614389","null","US 6 (2), PA 155, PA 346, PA 446, PA 646, PA 770
Hamlin (2), Liberty, Eldred, Foster, Bradford Townships (2)
Bridge Preservation with 7 structures"
"3625","Completed","2016 NC Br. Preservation","Cameron       ","Bridge Preservation Activities","0","2673","PA 155 over Salt Run
Shippen Township
PA 155 over Cowley Run
Portage Township
Bridge Preservation"
"3797","Completed","PA 120/Montours Run","Clinton       ","Bridge Replacement","1842572","null","SR 120 over Montours Run
East Keating Township
Bridge Replacement"
"3798","Completed","Plum Run BOX STA","Clinton       ","Bridge Replacement","168501","null","SR 1004 over Plum Run
Dunnstable Township
Bridge Replacement"
"3806","Completed","SR 120 Slide Safety Imprv","Clinton       ","Restoration","5392711","null","Clinton County
Noyes Township
SR 120 near Shintown Lane North
Slide Hazard Safety Improvements"
"3820","Completed","Long Run BOX","Clinton       ","Bridge Replacement","156139","null","SR 2008 over Long Run
Lamar Township
Bridge Replacement"
"3821","Completed","Fishing Creek Bridge","Clinton       ","Bridge Replacement","2286155","null","SR 2016 over Fishing Creek
Mill Hall Borough
Bridge Replacement"
"3863","Completed","Chatham Run Bridge","Clinton       ","Bridge Replacement","819334","null","SR 1002 over Chatham Run
Pine Creek Township
Bridge Replacement"
"3864","Completed","Fishing Crk Brg II","Clinton       ","Bridge Replacement","868035","null","SR 2004 over Fishing Creek
Porter Township
Bridge Replacement"
"4090","Completed","Trib Locust Rn Bridge","Juniata       ","Bridge Replacement","358147","null","SR 3002 over Trib of Locust Run Bridge
Delaware Township
Bridge Replacement"
"4164","Completed","SR 3021 over Warble Run","Juniata       ","Bridge Replacement","853000","null","SR 3021 over SR 3021 over Warble Run, a Tributary to Tuscarora Creek
near Village of Pleasantview
Bridge Replacement"
"4169","Completed","SR 1006 Horning Run Br","Juniata       ","Bridge Replacement","691098","null","SR 1006-A01 over Horning Run
Fermanagh Township, Village of Arch Rock
Bridge Replacement"
"4191","Completed","Trib. Juniata Rv BOX","Juniata       ","Bridge Replacement","134924","null","SR 333-A01 over Trib. Juniata River
Turbett Township, Village of Tuscarora
Bridge Replacement"
"4196","Completed","Horning Run Bridge","Juniata       ","Bridge Replacement","1026846","null","SR 3002-A01 over Horning Run 
Fermanagh Township
Bridge Replacement

"
"4212","Completed","Lost Creek Bridge","Juniata       ","Bridge Replacement","1867514","null","SR 0035 over Lost Creek
Fayette Township
Bridge Replacement"
"4219","Completed","Juniata River Bridge","Juniata       ","Bridge Replacement","16163166","null","SR 35 over Juniata River
Mifflintown Borough
Bridge Replacement"
"4302","Completed","SR 44 Bells Run Bridge","McKean        ","Bridge Replacement","1415518","null","SR 44-A01 over Bells Run 
Ceres Township, Village of Myrtle
Bridge Replacement"
"4337","Completed","Minard Run Bridge #I","McKean        ","Bridge Replacement","2610105","null","SR 770-A01 over Minard Run
Bradford Township
Bridge Replacement and Approaches"
"4338","Completed","Foster Brook Bridge","McKean        ","Bridge Replacement","1491630","null","SR 646-A02 Over Foster Brook Bridge  
Foster Township 
Bridge Replacement"
"4354","Completed","2019 N. Central  Bridge Preservation","Elk           ","Bridge Rehabilitation","1001495","null","SR 555 over Dents Run
Benezette Township
Bridge Rehabilitation"
"4376","Completed","Tunungwant Ck. Br. I","McKean        ","Bridge Replacement","3075553","null","SR 4004-A01 over Tunungwant Creek
Bradford Township
Bridge Replacement"
"4460","Completed","Kinzua Creek Bridge","McKean        ","Bridge Replacement","2466194","null","SR 3006-A01 over Kinzua Creek
Lafayette Township
Bridge Replacement"
"4463","Completed","SR 59 over Blacksmith Run","McKean        ","Bridge Replacement","2700995","null","SR 0059 over Blacksmith Run
Keating Township
Bridge Replacement"
"4464","Completed","Meeks Run Bridge","McKean        ","Bridge Replacement","478455","null","SR 1011 over Meeks Run
Eldred Township
Bridge Replacement"
"4465","Completed","SR 770 Minard Run II","McKean        ","Bridge Replacement","0","4337","SR 0770 over Minard Run Bridge #2
Bradford Township
Bridge Replacement"
"4497","Completed","Kinzua Creek Bridge","McKean        ","Bridge Replacement","1421457","null","SR 3009 over Kinzua Creek
Hamlin Twp
Bridge Replacement"
"4511","Completed","SR 6 Marvin Creek Bridge","McKean        ","Bridge Replacement","2302191","null","SR 006 Marvin Creek Bridge
Smethport Borough
Bridge Replacement"
"4538","Completed","Strodes Run BOX","Mifflin       ","Bridge Replacement","155788","null","SR 4013 over Strodes Run
Granville Township
Bridge Replacement"
"4585","Completed","2017 SEDA-COG Br. Preserv","Mifflin       ","Bridge Preservation Activities","3803122","null","SR 2008 over Jacks Creek, SR 3002 over Kishacoquillas Creek and SR 3017 over Juniata River
Decatur Township, Lewistown Borough and Wayne Township
Bridge Preservation"
"4600","Completed","Messer Run Bridge","Mifflin       ","Bridge Improvement","1376680","null","SR 0022 over Messer Run
Oliver Township
Bridge Improvement"
"4601","Completed","2018 SEDACOG Bridge Preservation","Clinton       ","Bridge Preservation Activities","2139396","null","2 Structures
PA 120 over Mill Run in Grugan Township
SR 1002 over West Branch of Susquehanna River in Castanea Township
Bridge Rehabilitation/Preservation"
"4641","Completed","2019 SEDA-COG Br. Preservation","Juniata       ","Bridge Improvement","1730836","null","3 Bridges
SR 35 over Schweyer Run in Mifflintown Borough
SR 3002 over Lost Creek in Fermanagh Township
SR 3023 over Lick Creek in Lack Township
Bridge Improvements"
"4670","Completed","Kish Crk/Ramp/Jacks","Mifflin       ","Bridge Rehabilitation","14104308","null","SR 0022 at 7 Bridge Locations
Lewistown Borough and Derry Township
Joints, Deck Repair/Replacement, Latex, Paint and Substructure Repair/Replacement."
"4718","Completed","Tea Creek Bridge","Mifflin       ","Bridge Replacement","1466552","null","SR 1005 over Tea Creek
Brown Township
Bridge Replacement"
"4719","Completed","Jacks Creek Bridge","Mifflin       ","Bridge Improvement","0","4719","Derry Township
SR 2004 over Jacks Creek Bridge
Bridge Improvements"
"4722","Completed","Kish Cr./Conrail Br.","Mifflin       ","Bridge Rehabilitation","13651887","null","SR 0322 at 8 Bridge Locations 
Brown, Colebrook and Pine Creek Townships
Deck Repair/Replacement,Preservation, Substructure Repair, Painting, Joints"
"4758","Completed","SR 3013 Allegheny River","Potter        ","Bridge Replacement","1022450","null","SR 3013 over Allegheny River
Coudersport Borough
Bridge Replacement"
"4808","Completed","SR 4003 over Clara Creek","Potter        ","Bridge Replacement","769433","null","SR 4003 over Clara Creek
Clara Township
Bridge Replacement"
"4896","Completed","SR 244 Ellisburg Creek","Potter        ","Bridge Replacement","694636","null","SR 244-A04 over Ellisburg Creek
Genesee Township
Bridge Replacement"
"4903","Completed","SR 3001 E Fork Sinnem. Ck","Potter        ","Bridge Removal","3067419","null","SR 3001 over East Fork of Sinnemahoning Creek
Wharton Township
Bridge Removal with Mill and Pave on SR 872"
"4909","Completed","SR 1016 White Branch II","Potter        ","Bridge Replacement","997462","null","SR 1016-A02 over White Branch of North Fork Creek
Harrison Township
Bridge Replacement & Minimal Approach Work"
"5048","Completed","SR 414 over Towanda Crk","Bradford      ","Bridge Replacement","2425897","null","SR 414 over Towanda Creek.
Franklin Township
Bridge Replacement"
"5059","Completed","SR1026 ovTb Wyalusing Crk","Bradford      ","Bridge Replacement","452845","null","SR 1026 (Neath Road) over Tributary of Wyalusing Creek,
Pike (Township),
Bridge Replacement."
"5084","Completed","SR2010ovTbSugarRun","Bradford      ","Bridge Replacement","978223","null","State Route 2010 (Wyalusing New Albany Road) over Tributary to Sugar Run
Terry Township
Bridge replacement"
"5091","Completed","SR 367 ov  Steam Mill Crk","Bradford      ","Bridge Replacement","94069","null","SR 367 over Steam Mill Creek
Tuscarora Township
Bridge Replacement"
"5108","Completed","T-402 ov S Br Towanda Crk","Bradford      ","Bridge Replacement","909405","null","Bradford County
Monroe Township
Bridge Replacement"
"5124","Completed","T-623 over Tomjack Creek","Bradford      ","Bridge Replacement","669234","null","Tomjack Creek Bridge (T-623)
Smithfield Township
Bridge Replacement"
"5132","Completed","US 6 over Sugar Creek","Bradford      ","Bridge Replacement","2087524","null","SR 6 over Sugar Creek.
Columbia Township
Bridge Replacement"
"5135","Completed","SR 3016 over Mill Creek","Bradford      ","Bridge Replacement","624000","null","State Route 3016(Lower Mountain Road) over Mill Creek
Canton Borough
Bridge replacement"
"5164","Completed","T-712 over Cash Creek","Bradford      ","Bridge Replacement","394118","null","T-712 over Cash Creek,
Ulster Township,
Bridge Replacement"
"5230","Completed","SR 1055 over Parks Creek","Bradford      ","Bridge Replacement","0","5248","SR 1055 (Union Valley Road) over Park's Creek,
Rome Township,
Bridge Replacement"
"5240","Completed","SR467 over Johnson's Crk","Bradford      ","Bridge Replacement","1319113","null","SR 467 over Johnson's Creek 
Orwell Township
Bridge Replacement"
"5241","Completed","SR 1049 over Cold Brook","Bradford      ","Bridge Replacement","227300","null","State Route 1049 (Leraysville Road)  over Cold Brook
Windham Township
bridge replacement"
"5243","Completed","SR 2018 ov Tb Susq River","Bradford      ","Bridge Replacement","844444","null","State Route 2018(Boat Club Road) over Tributary to the Susquehanna River
Asylum Township
Bridge replacement"
"5248","Completed","SR 409 over Billing Creek","Bradford      ","Bridge Replacement","323596","null","SR 409 over Billing Creek,
Wyalusing Township
Bridge Replacement"
"5276","Completed","T-730 over Spaulding Crk","Bradford      ","Bridge Replacement","590793","null","T-730 over Spaulding Creek,
Sheshequin Township
Bridge Replacement"
"5279","Completed","T-332 over Towanda Creek","Bradford      ","Bridge Removal","135475","null","Towanda Cr.- County Bridge #16
Leroy Township
Bridge Removal"
"5314","Completed","US 6 over Wallace Creek","Bradford      ","Bridge Rehabilitation","938988","null","Bridge Deck Repair on US 6 over Wallace Run in Burlington Township, Bradford County."
"5325","Completed","US 220 over SR 2036","Bradford      ","Bridge Rehabilitation","1812060","null","SR 220 over SR 2036 (Patterson Boulevard),
North Towanda Township
Bridge Rehabilitation
BMS# 08 0220 0410 0881"
"5328","Completed","SR 549 over Seeley Creek","Bradford      ","Bridge Replacement","3184425","null","SR 549 over Seeley Creek,  
Wells Township
Bridge replacement"
"5377","Completed","T-812 over Coles Creek","Columbia      ","Bridge Replacement","619249","null","T-812 (Comstock Road) over Coles Creek,
Sugarloaf Township
Bridge Replacement"
"5379","Completed","SR 4021 ov Lt Fishing Crk","Columbia      ","Bridge Rehabilitation","1005740","null","SR 4021 (Eyersgrove Road) over Little Fishing Creek
Greenwood Township
Bridge Deck Rehabilitation
BMS# 19 4021 0010 0718"
"5461","Completed","SR 1022 over Tb Green Crk","Columbia      ","Bridge Replacement","154159","null","SR 1022 over Tributary Green Creek
Fishing Creek and Greenwood Townships,
Bridge Replacement"
"5555","Completed","SR1014 ov Tb Lt Briar Crk","Columbia      ","Bridge Replacement","646339","null","SR 1014 (Martzville Road) over Tributary to Little Briar Creek
Briar Creek Township
Bridge Replacement"
"5560","Completed","SR 42 over Roaring Creek","Columbia      ","Bridge Replacement","1718817","null","SR 42 over Roaring Creek
Conyngham Township
Bridge Replacement
BMS# 19 0042 0090 0000"
"5585","Completed","PA 339 over Beaver Run","Columbia      ","Bridge Replacement","701653","null","SR 339 over Beaver Run,
Beaver (Twp)
Flood Repair (2018 Flood) - Bridge Replacement"
"5602","Completed","SR44 ov Chillisquaque Crk","Columbia      ","Bridge Replacement","710020","null","SR 44 over Chillisquaque Creek
Madison Township
Bridge Replacement
BMS# 19 0044 0250 0163"
"5636","Completed","SR 1033 over Pine Creek","Columbia      ","Bridge Replacement","148878","null","SR 1033 (Old Turnpike Road) over Pine Creek,
Fishing Creek Township,
Bridge Replacement"
"5637","Completed","SR 2005 over Tributary to Roaring Creek","Columbia      ","Bridge Replacement","191301","null","SR 2005 (Slabtown Rd) over Tributary of Roaring Creek,
Locust (Twp),
Bridge Replacement"
"5639","Completed","SR 4045 over Tb Green Crk","Columbia      ","Bridge Replacement","74943","null","SR 4045 (Green Creek Road) over Tributary to Green Creek
Greenwood Township
Bridge Replacement"
"5678","Completed","SR 2014 over Lycoming Crk","Lycoming      ","Bridge Rehabilitation","3265694","null","SR 2014 over Lycoming Creek,
Williamsport (City)
Bridge Deck Rehabilitation
"
"5720","Completed","SR 973 ov1stfk Larrys Crk","Lycoming      ","Bridge Replacement","1160590","null","PA 973 over 1st Fork of Larry's Creek
Mifflin Township
Bridge Replacement
BMS# 41 0973 0130 0782"
"5729","Completed","SR 2039 over Mill Creek","Lycoming      ","Bridge Replacement","1347856","null","SR 2039 over Mill Creek
Loyalsock Township
Bridge Replacement"
"5891","Completed","T-665 over Pleasant Stream","Lycoming      ","Bridge Replacement","941213","null","Township Road 665 over Pleasant Stream
McIntyre Township
Bridge improvement"
"5943","Completed","SR 2069 ov Lt Muncy Creek","Lycoming      ","Bridge Rehabilitation","1563098","null","SR 2069 over Little Muncy Creek
Moreland Township
Bridge Truss Rehabilitation"
"6032","Completed","SR2001 over Br Spring Crk","Lycoming      ","Bridge Replacement","0","6056","SR 2001 over Branch of Spring Creek
Washington Township (SW of Maple Hill)
Bridge Replacement"
"6050","Completed","SR 554 over Hagermans Run","Lycoming      ","Bridge Rehabilitation","570217","null","SR 554 (Market St) over Hagerman's Run & SR 1003 (Wallis Run Rd) over Salt Run,
South Williamsport (Boro)  & Gamble (Twp),
Bridge Superstructure Rehabilitation"
"6056","Completed","SR2001 over Br Spring Crk","Lycoming      ","Bridge Replacement","1744977","null","SR 2001 (Eliamsport Road.) over Branch of Spring Creek,
Brady Township
Bridge Replacement"
"6071","Completed","Sheridan St ov Millers Rn","Lycoming      ","Bridge Replacement","773526","null","Sheridan Street over Millers Run
Loyalsock Township
Bridge Replacement"
"6106","Completed","SR 3018 over 1st Fork Larrys Cr","Lycoming      ","Bridge Improvement","356419","null","SR 3018 (First Fork Road) Over First Fork of  Larry's Creek
Mifflin Township
Bridge improvement"
